"","gene","MinExpr","MaxExpr","SD_logRPKM","Mean_logRPKM","Median_logRPKM","Q.25_logRPKM","Q.75_logRPKM","IQR_logRPKM","ShannonIndex","Kurtosis","Skewness","ZeroExpr_proportion","residual.SD_logRPKM","LOESS.fit","TP"
"MSMEG_0002","MSMEG_0002",4.72080432457442,9.22150144475169,0.717973196237209,7.42041307609835,7.60097733170645,7.00775629317246,7.90953822083977,0.901781927667311,5.25265783859622,4.63560010860412,-0.945468428225059,0,-0.353197647664916,1.07117084390213,0.746175543111319
"MSMEG_0003","MSMEG_0003",6.49849028601153,10.5524480085644,0.677472744350066,8.37506860284117,8.36999422447446,7.91877851736148,8.89723157233425,0.978453054972769,5.25423682131534,3.47937078097621,0.093249614405743,0,-0.43718618264112,1.11465892699119,0.662187008135115
"MSMEG_0004","MSMEG_0004",3.32010513817816,6.42379219148679,0.649706777361169,4.82445309448878,4.73639395254538,4.38988001008833,5.15015912457662,0.760279114488295,5.24855717098874,2.88191055145791,0.39223799068428,0,-0.435657980396002,1.08536475775717,0.663715210380232
"MSMEG_0005","MSMEG_0005",6.64129124218789,13.0954299607843,1.09223480936101,10.1647830421992,10.3708793396542,9.5903440172257,10.9347790012232,1.34443498399748,5.25159276796271,3.49153538817321,-0.569043123353411,0,-0.104268566691302,1.19650337605231,0.995104624084933
"MSMEG_0006","MSMEG_0006",6.03387189219333,11.6598981852121,1.12768627523622,9.13404975247072,9.35741243676002,8.87522706554597,9.90487923743479,1.02965217188882,5.24948696198393,3.78406451141538,-1.09756700961214,0,-0.018889091571038,1.14657536680725,1.0804840992052
"MSMEG_0007","MSMEG_0007",5.85441346910406,10.2727660879642,0.85341460856402,8.2422199445706,8.45433132250768,7.88747363502141,8.72369835242737,0.836224717405966,5.25196642102572,3.49592318587519,-0.867949357341876,0,-0.256178847893687,1.10959345645771,0.843194342882548
"MSMEG_0011","MSMEG_0011",2.11376292191921,9.0183045716679,1.45421272905138,5.51407279974735,5.56500375199145,4.58481714990339,6.69960131691325,2.11478416700985,5.22159615179695,2.6301424887252,-0.0392639161579081,0,0.393379720078296,1.06083300897308,1.49275291085453
"MSMEG_0012","MSMEG_0012",1.95169358797087,8.32926464349528,1.00481295547282,4.84266756981746,4.92512718849868,4.2947801947245,5.45813502179525,1.16335482707075,5.23582319124943,4.12360894596209,0.23082945191621,0,-0.0797879931523819,1.0846009486252,1.01958519762385
"MSMEG_0013","MSMEG_0013",2.60439013398671,7.01265397532703,0.936283638845945,4.86831534679491,4.94645093230887,4.28898896234561,5.49825349284336,1.20926453049774,5.23832407469827,2.86653328781317,-0.340607109469923,0,-0.147250325249772,1.08353396409572,0.952122865526463
"MSMEG_0014","MSMEG_0014",1.14057851706788,8.2293093608738,1.46843195869327,4.67829778714513,4.60601366592712,3.68553142171452,5.6770457941891,1.99151437247458,5.20753013186174,2.67499446999387,0.25279552054965,0,0.376740972463302,1.09169098622996,1.47611416323954
"MSMEG_0015","MSMEG_0015",0.940783659900067,4.32397189104848,0.728797064402604,2.61969955991691,2.67532105117753,2.05314522806209,3.23955327418038,1.18640804611829,5.21748407440514,2.12577131086136,-0.0874433163846731,0,-0.393248451698621,1.12204551610122,0.706124739077614
"MSMEG_0016","MSMEG_0016",0,5.9815588606447,1.14521963261131,1.77960733864127,1.52057218939019,0.949860108423432,2.42037064315796,1.47051053473452,5.05286647926852,4.15845244333137,1.00609713091914,0.0260416666666667,0.0325792647402177,1.11264036787109,1.13195245551645
"MSMEG_0017","MSMEG_0017",0.819646841967365,7.01561265744324,1.24072297368883,3.61786187261358,3.63537299409983,2.73388080539197,4.50694435551888,1.7730635501269,5.19684893328719,3.00282178001295,0.21748623632732,0,0.110163771262365,1.13055920242647,1.2095369620386
