"","gene","MinExpr","MaxExpr","SD_logRPKM","Mean_logRPKM","Median_logRPKM","Q.25_logRPKM","Q.75_logRPKM","IQR_logRPKM","ShannonIndex","Kurtosis","Skewness","ZeroExpr_proportion","residual.SD_logRPKM","LOESS.fit","TP"
"Rv0001","Rv0001",4.88597282610803,13.236289416661,1.08821465714498,8.39682497859047,8.50828942641876,7.88830622529899,9.00245399642898,1.11414777113,6.78719942143355,5.05167218578935,-0.00186271748401191,0,0.176662059383045,0.911552597761934,1.13037499101515
"Rv0002","Rv0002",3.87207705848354,10.604849780529,0.906339584207264,7.53987519630454,7.59904569586486,7.09717613559895,8.11767415410729,1.02049801850834,6.78821704026204,4.47876654463986,-0.625649935882888,0,0.0269436812978908,0.879395902909373,0.980656612929992
"Rv0003","Rv0003",3.75034202507166,9.96221133774933,0.859234061396797,6.90141722800334,6.95894578059958,6.41893931354684,7.44883387030789,1.02989455676106,6.78779673311926,3.83386596904428,-0.261916029167887,0,-0.0180670355519462,0.877301096948743,0.935645896080155
"Rv0004","Rv0004",3.43366297883049,8.51776452155626,0.641284095703163,6.83908015542114,6.90514280834297,6.53378940384293,7.27212405104655,0.738334647203626,6.7911338542621,5.04534588436056,-1.02702679300457,0,-0.237513028009445,0.878797123712608,0.716199903622657
"Rv0005","Rv0005",7.06398207381265,12.7733084205705,0.781545707756766,10.1625092771097,10.2160639889848,9.68794527355924,10.623618031532,0.935672757972787,6.79272188637639,4.41374232055257,-0.217534872276045,0,-0.217776345612996,0.999322053369761,0.735936586019106
"Rv0006","Rv0006",6.11119870275611,12.1805531229687,0.776968917886714,9.45032449382688,9.5637642299692,9.11995155562913,9.89595164132866,0.776000085699538,6.79220170439066,6.60149722999018,-1.07196463219183,0,-0.183872664410362,0.960841582297076,0.76984026722174
"Rv0007","Rv0007",6.22896379442145,10.7970824088749,0.611833843898364,8.50327173388994,8.57682204413537,8.1951482196968,8.839430962865,0.644282743168194,6.79308699710793,4.38323124598929,-0.369164294387328,0,-0.304809719270521,0.916643563168885,0.648903212361581
"Rv0008c","Rv0008c",2.58051398813726,8.81439633265763,0.749993644283634,6.43773630004136,6.51329257098042,6.04622865540937,6.88729927184405,0.841070616434679,6.788566933674,5.6843699819272,-0.947129113194265,0,-0.146452921288693,0.896446565572327,0.807260010343409
"Rv0009","Rv0009",5.72184102361398,12.2427631433039,0.988648478195787,10.0429428870221,10.2818149138372,9.57669824467652,10.6656103187803,1.08891207410378,6.79061716673369,5.39496352180622,-1.24235863831073,0,-0.00395320233243723,0.992601680528225,0.949759729299664
"Rv0010c","Rv0010c",5.01025477128133,13.1727523468055,1.10494865910999,7.93689682709634,7.68806450432258,7.1698783386084,8.54027656822164,1.37039822961323,6.78625092262243,3.47547254855775,0.71261064984871,0,0.21381056553695,0.891138093573044,1.16752349716905
