"","name","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"DevR-1","DevR-1","DevR-1",22,0.970240539609994,4.00747425983334,1e-10,9.81082467796387e-10,1.72119731192349e-10,41,"tags=95%, list=1%, signal=95%","Rv2031c/Rv1738/Rv3130c/Rv2030c/Rv2626c/Rv3131/Rv2623/Rv2627c/Rv2032/Rv2007c/Rv1733c/Rv1996/Rv1737c/Rv1736c/Rv3127/Rv1813c/Rv0079/Rv2628/Rv0080/Rv3134c/Rv1997"
"DevR-2","DevR-2","DevR-2",37,0.833854485834509,3.99460239767825,1e-10,9.81082467796387e-10,1.72119731192349e-10,229,"tags=78%, list=6%, signal=74%","Rv1738/Rv3130c/Rv2030c/Rv2626c/Rv2623/Rv2627c/Rv2625c/Rv2007c/Rv2624c/Rv1737c/Rv2029c/Rv1736c/Rv1735a/Rv0079/Rv2628/Rv2028c/Rv3134c/Rv1997/Rv2005c/Rv2004c/Rv0572c/Rv2003c/Rv3133c/Rv2630/Rv2629/Rv0570/Rv0569/Rv0574c/Rv3132c"
"Zur","Zur","Zur",20,0.847842934642211,3.4087657285469,1e-10,9.81082467796387e-10,1.72119731192349e-10,609,"tags=100%, list=16%, signal=85%","Rv2058c/Rv2057c/Rv0280/Rv2056c/Rv0106/Rv2055c/Rv0285/Rv0290/Rv0291/Rv2990c/Rv0287/Rv0292/Rv0286/Rv0289/Rv0288/Rv0284/Rv0283/Rv2059/Rv0282/Rv0281"
"IdeR","IdeR","IdeR",44,0.590532711583711,2.96650568886296,1.09009163088487e-10,9.81082467796387e-10,1.72119731192349e-10,429,"tags=57%, list=11%, signal=51%","Rv2383c/Rv2382c/Rv2123/Rv0285/Rv2381c/Rv0290/Rv0291/Rv3839/Rv0287/Rv2377c/Rv2386c/Rv3841/Rv0286/Rv0289/Rv0288/Rv2380c/Rv1519/Rv2122c/Rv2379c/Rv0284/Rv0283/Rv2378c/Rv3402c/Rv3840/Rv1344"
"WhiB4","WhiB4","WhiB4",93,0.453023803285124,2.68927555544493,1.08449974246521e-09,7.8083981457495e-09,1.369894411535e-09,1830,"tags=88%, list=47%, signal=48%","Rv3370c/Rv1378c/Rv3074/Rv3202c/Rv2100/Rv3395c/Rv3776/Rv0057/Rv2719c/Rv2722/Rv1316c/Rv1702c/Rv2977c/Rv2736c/Rv3394c/Rv0059/Rv2886c/Rv3198A/Rv2593c/Rv1317c/Rv3201c/Rv2790c/Rv2720/Rv2978c/Rv2308a/Rv0055/Rv2012/Rv2592c/Rv0921/Rv0515/Rv0095c/Rv2885c/Rv2734/Rv0605/Rv1406/Rv2594c/Rv2979c/Rv1277/Rv1000c/Rv1128c/Rv3190A/Rv3585/Rv3828c/Rv0184/Rv1407/Rv2735c/Rv0607/Rv2789c/Rv2737c/Rv0621/Rv0181c/Rv1148c/Rv2312/Rv1961/Rv0185/Rv3586/Rv1945/Rv1278/Rv3517/Rv3714c/Rv1765c/Rv1377c/Rv0058/Rv2015c/Rv2976c/Rv3297/Rv0056/Rv3296/Rv1833c/Rv0054/Rv3226c/Rv3555c/Rv1588c/Rv3827c/Rv2792c/Rv2578c/Rv2119/Rv0186/Rv1547/Rv0922/Rv0182c/Rv2191"
"Mce1R","Mce1R","Mce1R",15,0.796181630546956,2.91645801980699,2.9710929856153e-09,1.78265579136918e-08,3.12746630064768e-09,805,"tags=100%, list=21%, signal=80%","Rv0169/Rv3152/Rv3148/Rv0170/Rv0173/Rv0168/Rv3146/Rv0172/Rv3156/Rv3149/Rv0171/Rv3147/Rv3150/Rv3154/Rv3151"
"SigH","SigH","SigH",45,0.551022487746205,2.79740133842871,3.47137126738144e-09,1.78527665179617e-08,3.13206430139679e-09,1578,"tags=93%, list=41%, signal=56%","Rv1158c/Rv0888/Rv2292c/Rv3354/Rv1754c/Rv1773c/Rv1076/Rv1157c/Rv1435c/Rv3675/Rv0039c/Rv0129c/Rv0040c/Rv3717/Rv1478/Rv1698/Rv1987/Rv3413c/Rv3310/Rv0312/Rv1433/Rv2293c/Rv1566c/Rv1772/Rv3414c/Rv1690/Rv1477/Rv3209/Rv3810/Rv1075c/Rv2721c/Rv2894c/Rv3353c/Rv3313c/Rv0208c/Rv0179c/Rv2075c/Rv3352c/Rv3341/Rv1497/Rv1469/Rv2525c"
"SigD","SigD","SigD",54,0.494935441348815,2.62052436540416,4.12411569707212e-08,1.85585206368245e-07,3.25588081347799e-08,1510,"tags=83%, list=39%, signal=52%","Rv0834c/Rv2541/Rv0980c/Rv2352c/Rv0747/Rv2526/Rv0279c/Rv3508/Rv0150c/Rv0872c/Rv1396c/Rv0833/Rv2615c/Rv2153c/Rv1091/Rv1468c/Rv3344c/Rv1818c/Rv3507/Rv3512/Rv3590c/Rv0581/Rv0578c/Rv2162c/Rv1087/Rv0746/Rv3653/Rv0297/Rv0603/Rv3345c/Rv2365c/Rv3388/Rv0124/Rv1441c/Rv0278c/Rv1759c/Rv0649/Rv0064A/Rv3514/Rv2741/Rv1840c/Rv2126c/Rv2490c/Rv1325c/Rv3511"
"Rv0576","Rv0576","Rv0576",52,0.498345822472182,2.62379263041224,6.10191309485172e-08,2.44076523794069e-07,4.28204427708893e-08,841,"tags=62%, list=22%, signal=49%","Rv2466c/Rv2662/Rv3054c/Rv1169c/Rv3252c/Rv0384c/Rv0991c/Rv2035/Rv2780/Rv0793/Rv0792c/Rv1286/Rv1586c/Rv2025c/Rv3463/Rv0767c/Rv0654/Rv2913c/Rv0791c/Rv3334/Rv1585c/Rv1386/Rv2036/Rv2621c/Rv2012/Rv2016/Rv0790c/Rv2620c/Rv0768/Rv2516c/Rv2912c/Rv0587"
"RicR","RicR","RicR",13,0.768218994368977,2.71951991487094,2.15913614341417e-07,7.56742073649865e-07,1.32761767306994e-07,335,"tags=77%, list=9%, signal=71%","Rv1813c/Rv0847/Rv0186A/Rv0969/Rv0848/Rv0967/Rv0968/Rv0846c/Rv0849/Rv2963"
"Lsr2","Lsr2","Lsr2",46,0.509944346563167,2.60340425250414,2.46809263856343e-07,7.56742073649865e-07,1.32761767306994e-07,1283,"tags=78%, list=33%, signal=53%","Rv1507A/Rv2107/Rv3424c/Rv2949c/Rv2959c/Rv3425/Rv2336/Rv2928/Rv1505c/Rv1574/Rv3426/Rv2956/Rv2108/Rv0451c/Rv3377c/Rv0404/Rv2808/Rv3528c/Rv1502/Rv2929/Rv3473c/Rv1507c/Rv3109/Rv2338c/Rv0988/Rv3378c/Rv3114/Rv0113/Rv0112/Rv1506c/Rv1501/Rv1948c/Rv0469/Rv3429/Rv2022c/Rv0405"
"WhiB4/IdeR","WhiB4/IdeR","WhiB4/IdeR",16,0.713345831940002,2.6841637498149,2.52247357883288e-07,7.56742073649865e-07,1.32761767306994e-07,522,"tags=75%, list=13%, signal=65%","Rv3862c/Rv2466c/Rv3054c/Rv2123/Rv3839/Rv1909c/Rv1528c/Rv3840/Rv1471/Rv3463/Rv0140/Rv0142"
"PhoP","PhoP","PhoP",22,0.596466864179212,2.46364226957836,9.18146111364015e-06,2.54255846223881e-05,4.46062888112072e-06,1307,"tags=91%, list=34%, signal=61%","Rv3312b/Rv3824c/Rv3312A/Rv1638A/Rv1181/Rv1184c/Rv1361c/Rv2331/Rv3478/Rv2329c/Rv3487c/Rv2288/Rv3825c/Rv3686c/Rv3416/Rv3706c/Rv1185c/Rv1180/Rv3822/Rv2331A"
"Fatty Acid Biosynthesis","Fatty Acid Biosynthesis","Fatty Acid Biosynthesis",21,0.570633985570818,2.31986862338182,5.92295898325574e-05,0.000152304659569433,2.67201157139357e-05,1423,"tags=90%, list=37%, signal=58%","Rv1057/Rv0516c/Rv0950c/Rv0411c/Rv2524c/Rv2846c/Rv1592c/Rv2244/Rv2243/Rv0410c/Rv1013/Rv0412c/Rv0263c/Rv2246/Rv2247/Rv2245/Rv3800c/Rv2248/Rv0264c"
"Rv1776c+WhiB4","Rv1776c+WhiB4","Rv1776c+WhiB4",21,0.564498408185245,2.29492490495102,8.31318424498635e-05,0.000199516421879672,3.50028810315215e-05,1058,"tags=76%, list=27%, signal=56%","Rv0251c/Rv0384c/Rv0351/Rv2052c/Rv0350/Rv2745c/Rv2710/Rv0563/Rv0250c/Rv2694c/Rv0352/Rv2743c/Rv2053c/Rv2742c/Rv2744c/Rv2693c"
"ArgR","ArgR","ArgR",9,0.720794005886777,2.2531395896573,0.000106837730347677,0.000240384893282274,4.21727882951358e-05,511,"tags=78%, list=13%, signal=68%","Rv1653/Rv1655/Rv1652/Rv1654/Rv1657/Rv2780/Rv1656"
"VirS","VirS","VirS",7,0.769309989701339,2.19050660132338,0.000173977217442724,0.000368422342819886,6.46354987403308e-05,903,"tags=100%, list=23%, signal=77%","Rv3084/Rv3087/Rv3083/Rv3085/Rv3086/Rv3088/Rv3089"
"WhiB6","WhiB6","WhiB6",16,0.591004937877156,2.2238218255194,0.000191144437021282,0.000382288874042563,6.70682235162392e-05,1002,"tags=75%, list=26%, signal=56%","Rv3862c/Rv3289c/Rv3290c/Rv3288c/Rv1986/Rv2422/Rv3872/Rv3873/Rv3879c/Rv3874/Rv3875/Rv3291c"
"PyrR","PyrR","PyrR",43,0.415478976409807,2.08440117682033,0.00047118770447751,0.000892776703220545,0.000156627491793078,1357,"tags=67%, list=35%, signal=44%","Rv2159c/Rv2107/Rv3143/Rv1576c/Rv2659c/Rv1583c/Rv1577c/Rv1584c/Rv1586c/Rv2658c/Rv1585c/Rv1574/Rv1578c/Rv2108/Rv1581c/Rv2077c/Rv3473c/Rv0826/Rv1573/Rv1580c/Rv2527/Rv1582c/Rv1759c/Rv1575/Rv2818c/Rv2017/Rv2478c/Rv0073/Rv1760"
"MarR","MarR","MarR",16,0.568843117283675,2.14043176027552,0.000507756207992095,0.000911363716709288,0.000159888371352507,943,"tags=69%, list=24%, signal=52%","Rv1405c/Rv1507A/Rv1116/Rv3746c/Rv3745c/Rv1403c/Rv0575c/Rv1682/Rv0195/Rv1375/Rv2390c"
