"","gene","symbol","name","regulator_readable","function.","category"
"1","Rv3342","Rv3342","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"2","Rv1433","Rv1433","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"3","Rv1566c","Rv1566c","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"4","Rv1076","lipU","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"5","Rv1698","mctB","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"6","Rv3313c","add","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"7","Rv3354","Rv3354","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"8","Rv3414c","sigD","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"9","Rv1469","ctpD","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"10","Rv1435c","Rv1435c","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"11","Rv1158c","Rv1158c","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"12","Rv1478","Rv1478","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"13","Rv0129c","fbpC","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"14","Rv0063","Rv0063","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"15","Rv3810","pirG","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"16","Rv1987","Rv1987","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"17","Rv1754c","Rv1754c","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"18","Rv2721c","Rv2721c","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"19","Rv3717","Rv3717","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
